pin ID,numeric ID,pin name,side,side order
A1,80,GND_1,right,1
A2,81,DP1_M2C_P,right,2
A3,82,DP1_M2C_N,right,3
A4,83,GND_2,right,4
A5,84,GND_3,right,5
A6,85,DP2_M2C_P,right,6
A7,86,DP2_M2C_N,right,7
A8,87,GND_4,right,8
A9,88,GND_5,right,9
A10,89,DP3_M2C_P,right,10
A11,90,DP3_M2C_N,right,11
A12,91,GND_6,right,12
A13,92,GND_7,right,13
A14,93,DP4_M2C_P,right,14
A15,94,DP4_M2C_N,right,15
A16,95,GND_8,right,16
A17,96,GND_9,right,17
A18,97,DP5_M2C_P,right,18
A19,98,DP5_M2C_N,right,19
A20,99,GND_10,right,20
A21,100,GND_11,right,21
A22,101,DP1_C2M_P,right,22
A23,102,DP1_C2M_N,right,23
A24,103,GND_12,right,24
A25,104,GND_13,right,25
A26,105,DP2_C2M_P,right,26
A27,106,DP2_C2M_N,right,27
A28,107,GND_14,right,28
A29,108,GND_15,right,29
A30,109,DP3_C2M_P,right,30
A31,110,DP3_C2M_N,right,31
A32,111,GND_16,right,32
A33,112,GND_17,right,33
A34,113,DP4_C2M_P,right,34
A35,114,DP4_C2M_N,right,35
A36,115,GND_18,right,36
A37,116,GND_19,right,37
A38,117,DP5_C2M_P,right,38
A39,118,DP5_C2M_N,right,39
A40,119,GND_20,right,40
B1,120,CLK_DIR,right,1
B2,121,GND_21,right,2
B3,122,GND_22,right,3
B4,123,DP9_M2C_P,right,4
B5,124,DP9_M2C_N,right,5
B6,125,GND_23,right,6
B7,126,GND_24,right,7
B8,127,DP8_M2C_P,right,8
B9,128,DP8_M2C_N,right,9
B10,129,GND_25,right,10
B11,130,GND_26,right,11
B12,131,DP7_M2C_P,right,12
B13,132,DP7_M2C_N,right,13
B14,133,GND_27,right,14
B15,134,GND_28,right,15
B16,135,DP6_M2C_P,right,16
B17,136,DP6_M2C_N,right,17
B18,137,GND_29,right,18
B19,138,GND_30,right,19
B20,139,GBTCLK1_M2C_P,right,20
B21,140,GBTCLK1_M2C_N,right,21
B22,141,GND_31,right,22
B23,142,GND_32,right,23
B24,143,DP9_C2M_P,right,24
B25,144,DP9_C2M_N,right,25
B26,145,GND_33,right,26
B27,146,GND_34,right,27
B28,147,DP8_C2M_P,right,28
B29,148,DP8_C2M_N,right,29
B30,149,GND_35,right,30
B31,150,GND_36,right,31
B32,151,DP7_C2M_P,right,32
B33,152,DP7_C2M_N,right,33
B34,153,GND_37,right,34
B35,154,GND_38,right,35
B36,155,DP6_C2M_P,right,36
B37,156,DP6_C2M_N,right,37
B38,157,GND_39,right,38
B39,158,GND_40,right,39
B40,159,RES0,right,40
C1,160,GND_41,right,1
C2,161,DP0_C2M_P,right,2
C3,162,DP0_C2M_N,right,3
C4,163,GND_42,right,4
C5,164,GND_43,right,5
C6,165,DP0_M2C_P,right,6
C7,166,DP0_M2C_N,right,7
C8,167,GND_44,right,8
C9,168,GND_45,right,9
C10,169,LA06_P,right,10
C11,170,LA06_N,right,11
C12,171,GND_46,right,12
C13,172,GND_47,right,13
C14,173,LA10_P,right,14
C15,174,LA10_N,right,15
C16,175,GND_48,right,16
C17,176,GND_49,right,17
C18,177,LA14_P,right,18
C19,178,LA14_N,right,19
C20,179,GND_50,right,20
C21,180,GND_51,right,21
C22,181,LA18_P_CC,right,22
C23,182,LA18_N_CC,right,23
C24,183,GND_52,right,24
C25,184,GND_53,right,25
C26,185,LA27_P,right,26
C27,186,LA27_N,right,27
C28,187,GND_54,right,28
