Object Kind	X1	Y1	Orientation	Name	Show Name	Pin Designator	Show Designator	Row	Column	Index
Pin	0mil	100mil	180 Degrees	pin	false	A1	true	A	1	0	
Pin	0mil	200mil	180 Degrees	pin	false	A2	true	A	2	1	
Pin	0mil	300mil	180 Degrees	pin	false	A3	true	A	3	2	
Pin	0mil	400mil	180 Degrees	pin	false	A4	true	A	4	3	
Pin	0mil	500mil	180 Degrees	pin	false	A5	true	A	5	4	
Pin	0mil	600mil	180 Degrees	pin	false	A6	true	A	6	5	
Pin	0mil	700mil	180 Degrees	pin	false	A7	true	A	7	6	
Pin	0mil	800mil	180 Degrees	pin	false	A8	true	A	8	7	
Pin	0mil	900mil	180 Degrees	pin	false	A9	true	A	9	8	
Pin	0mil	1000mil	180 Degrees	pin	false	A10	true	A	10	9	
Pin	0mil	1100mil	180 Degrees	pin	false	A11	true	A	11	10	
Pin	0mil	1200mil	180 Degrees	pin	false	A12	true	A	12	11	
Pin	0mil	1300mil	180 Degrees	pin	false	A13	true	A	13	12	
Pin	0mil	1400mil	180 Degrees	pin	false	A14	true	A	14	13	
Pin	0mil	1500mil	180 Degrees	pin	false	A15	true	A	15	14	
Pin	0mil	1600mil	180 Degrees	pin	false	A16	true	A	16	15	
Pin	0mil	1700mil	180 Degrees	pin	false	A17	true	A	17	16	
Pin	0mil	1800mil	180 Degrees	pin	false	A18	true	A	18	17	
Pin	0mil	1900mil	180 Degrees	pin	false	A19	true	A	19	18	
Pin	0mil	2000mil	180 Degrees	pin	false	A20	true	A	20	19	
Pin	0mil	2100mil	180 Degrees	pin	false	A21	true	A	21	20	
Pin	0mil	2200mil	180 Degrees	pin	false	A22	true	A	22	21	
Pin	0mil	2300mil	180 Degrees	pin	false	A23	true	A	23	22	
Pin	0mil	2400mil	180 Degrees	pin	false	A24	true	A	24	23	
Pin	0mil	2500mil	180 Degrees	pin	false	A25	true	A	25	24	
Pin	0mil	2600mil	180 Degrees	pin	false	A26	true	A	26	25	
Pin	0mil	2700mil	180 Degrees	pin	false	A27	true	A	27	26	
Pin	0mil	2800mil	180 Degrees	pin	false	A28	true	A	28	27	
Pin	0mil	2900mil	180 Degrees	pin	false	A29	true	A	29	28	
Pin	0mil	3000mil	180 Degrees	pin	false	A30	true	A	30	29	
Pin	0mil	3100mil	180 Degrees	pin	false	A31	true	A	31	30	
Pin	0mil	3200mil	180 Degrees	pin	false	A32	true	A	32	31	
Pin	0mil	3300mil	180 Degrees	pin	false	A33	true	A	33	32	
